 101  57.0  -77.0 10 RICHMOND GULF QUE.
 6000.0  200.0   -2.0    1.0
 7000.0  200.0   -6.0    1.0
 243  54.3   11.1  6 RODBYHAVN DEN.                
  500.0  200.0    -.2    1.0
 1300.0  200.0    -.5    1.0
 3200.0  200.0   -1.3    1.0
 4500.0  200.0   -2.4    1.0
 5900.0  200.0   -4.2    1.0
 7600.0  300.0  -12.5    1.8
 244  60.5   -1.0  1 SHETLAND IS. SCOT.            
 5900.0  200.0   -9.0    1.3
 245  57.4   -7.3  1 N. UIST SCOT.                 
 5700.0  200.0    -.7    1.0
 246  56.1   -5.3  3 LOCH FYNE SCOT.               
 6200.0  200.0    4.3    1.0
11700.0  400.0    -.6    1.0
12400.0  400.0     .5    1.0
 247  56.1   -3.8 10 FIRTH OF FORTH SCOT.          
 1000.0  200.0     .6    1.0
 2000.0  200.0    3.4    1.0
 3000.0  200.0    3.7    1.0
 4000.0  200.0    8.0    1.1
 5000.0  200.0   10.0    1.4
 6000.0  200.0   12.0    1.8
 7000.0  200.0   11.0    1.6
 8000.0  300.0    7.0    1.0
 9000.0  300.0    5.0    1.0
10000.0  400.0    8.0    1.1
 248  56.0   -6.2  5 ORONSAY SCOT.                 
 5900.0  200.0   11.0    1.6
 7100.0  200.0    1.0    1.0
 7400.0  200.0    1.0    1.0
 8200.0  300.0   11.7    1.7
11800.0  400.0   20.0    3.0
 249  55.9   -4.4  4 PORT GLASGOW SCOT.            
11100.0  400.0    2.0    1.0
11900.0  400.0    5.2    1.0
12300.0  400.0    6.1    1.0
13500.0  500.0    6.1    1.0
 250  55.4   -4.7  2 AYR SCOT.                     
 9000.0  300.0    1.8    1.0
 9600.0  300.0    6.1    1.0
 251  54.9   -4.4  2 THE MACHARS SCOT.             
 2000.0  200.0    5.2    1.0
 6500.0  200.0    6.4    1.0
 252  54.7   -1.2 12 TEES R. ENG.                  
 1000.0  200.0   -2.0    1.0
 2000.0  200.0     .0    1.0
 3000.0  200.0   -4.0    1.0
 4000.0  200.0    5.0    1.0
 5000.0  200.0   -8.0    1.1
 6000.0  200.0  -12.0    1.8
 7000.0  200.0  -15.0    2.2
 8000.0  300.0  -30.0    4.5
 9000.0  300.0  -43.0    6.4
10000.0  400.0  -52.0    7.7
11000.0  400.0  -57.0    8.5
12000.0  400.0  -58.0    8.6
 253  53.6    -.4  9 HUMBER R. ENG.                
 2600.0  200.0   -1.0    1.0
 2800.0  200.0     .3    1.0
 3300.0  200.0     .2    1.0
 3500.0  200.0   -3.5    1.0
 3900.0  200.0   -1.8    1.0
 5200.0  200.0   -2.5    1.0
 6200.0  200.0   -2.4    1.0
 6700.0  200.0   -9.5    1.4
 7000.0  200.0  -11.6    1.7
 254  54.2   -3.2  7 CUMBERLAND ENG.               
  600.0  200.0    3.0    1.0
 2200.0  200.0    3.0    1.0
 3600.0  300.0    2.0    1.0
 6200.0  300.0    2.0    1.0
 6800.0  300.0   -5.0    1.0
 7900.0  400.0  -10.0    1.4
 9200.0  400.0  -21.0    3.1
 255  53.5   -3.2  8 MERSEYSIDE ENG.               
 1000.0  200.0    1.0    1.0
 2000.0  200.0    1.0    1.0
 3000.0  200.0     .0    1.0
 4000.0  200.0   -1.0    1.0
 5000.0  200.0   -1.0    1.0
 6000.0  200.0   -3.0    1.0
 7000.0  200.0   -7.0    1.0
 8000.0  300.0  -14.0    2.1
 256  53.0     .3  2 NORFOLK ENG.                  
 3900.0  200.0   -1.8    1.0
 4700.0  200.0   -5.0    1.0
 257  51.5     .6  9 THAMES R. ENG.                
  700.0  200.0     .0    1.0
 1300.0  200.0     .0    1.0
 2300.0  200.0   -3.4    1.0
 3700.0  200.0   -6.0    1.0
 4300.0  200.0   -7.0    1.0
 5700.0  300.0  -12.0    1.8
 6500.0  300.0  -13.0    1.9
 7500.0  300.0  -16.5    2.4
 8300.0  300.0  -26.4    3.9
 258  51.1    1.4  2 DOVER ENG.                    
 9900.0  300.0  -36.5    5.4
10500.0  400.0  -37.0    5.5
 259  50.8   -1.3  2 SOUTHAMPTON ENG.              
 6300.0  200.0   -7.6    1.1
 6400.0  200.0   -7.3    1.0
 260  50.6   -2.5  2 WEYMOUTH ENG.                 
 5000.0  200.0   -2.9    1.0
 5400.0  200.0   -3.8    1.0
 261  50.5   -3.5  8 TORQUAY ENG.                  
 3300.0  200.0   -3.1    1.0
 3700.0  200.0   -1.7    1.0
 4000.0  200.0   -4.1    1.0
 7800.0  300.0  -17.0    2.5
 8200.0  300.0  -22.0    3.3
 8500.0  300.0  -29.0    4.3
 8800.0  300.0  -38.0    5.6
 9500.0  300.0  -42.0    6.2
 262  51.2   -3.1  8 SOMERSET LEVELS ENG.          
 1000.0  200.0    -.6    1.0
 2000.0  200.0   -1.2    1.0
 3000.0  200.0   -1.8    1.0
 4000.0  200.0   -2.5    1.0
 5000.0  200.0   -3.5    1.0
 6000.0  200.0   -5.5    1.0
 7000.0  200.0  -10.0    1.4
 8000.0  300.0  -17.0    2.5
 263  51.4   -3.0  5 NEWPORT WALES                 
 1000.0  200.0    -.5    1.0
 2000.0  200.0   -1.0    1.0
 3000.0  200.0   -2.0    1.0
 4000.0  200.0   -3.0    1.0
 5000.0  200.0   -4.0    1.0
 264  52.2   -4.3  2 NEW QUAY WALES                
 6000.0  200.0    -.5    1.0
 8700.0  300.0  -20.5    3.0
 265  54.3   -5.8  8 BELFAST N. IRE.               
 2700.0  200.0    -.7    1.0
 3400.0  200.0   -1.0    1.0
 5700.0  200.0     .5    1.0
 6600.0  300.0    1.0    1.0
 7200.0  200.0    3.0    1.0
 7700.0  400.0   -1.2    1.0
 8200.0  300.0    -.5    1.0
11700.0  400.0   -1.3    1.0
 266  55.3   -7.0  1 LOUGH FOYLE N. IRE.           
 7000.0  200.0    4.0    1.0
 267  53.4   -6.2  2 DUBLIN IRE.                   
 4500.0  200.0    4.0    1.0
 4800.0  200.0    4.0    1.0
 268  54.7   -8.5  1 LOUGHHROS MORE BAY IRE.       
 7000.0  200.0     .0    1.0
 269  52.6   -9.7  2 MOUTH OF THE SHANNON IRE.     
 3900.0  200.0     .0    1.0
 4200.0  200.0     .0    1.0
 270  65.5  -21.8  2 STADARHOLSKIRKJA ICELAND      
 3100.0  200.0    3.0    1.0
12800.0  500.0   20.0    3.0
 271  64.5  -21.8  2 AKRANES ICELAND               
12100.0  400.0   28.0    4.2
12800.0  500.0   33.0    4.9
 272  64.4  -21.8  4 REYKJAVIK ICELAND             
10400.0  400.0    4.0    1.0
11300.0  400.0    2.0    1.0
12400.0  400.0   25.0    3.7
12900.0  500.0    2.0    1.0
 273  77.4   15.0  4 HORNSUND SPITS.               
 6500.0  200.0   12.0    1.8
 7300.0  200.0    2.0    1.0
 9400.0  300.0   10.0    1.4
10300.0  400.0   29.0    4.3
 274  78.2   14.0  4 KAPP LINNE SPITS.             
 5000.0  200.0    7.0    1.0
 6000.0  200.0    9.0    1.3
 6500.0  200.0   10.0    1.4
 9000.0  300.0   24.0    3.6
 275  78.4   16.5  4 BILLEFJORDEN SPITS.           
 3200.0  200.0    4.0    1.0
 6500.0  200.0   13.0    1.9
 8900.0  300.0   26.0    3.9
 9200.0  300.0   55.0    8.2
 276  78.7   11.2  5 PRINS KARLS FORLAND SPITS.    
 6500.0  200.0    5.0    1.0
10500.0  400.0    3.3    1.0
11200.0  400.0   12.2    1.8
13400.0  500.0   18.4    2.7
13700.0  500.0   24.8    3.7
 277  78.9   11.6  8 BROGGERHALVOYA SPITS.         
 6000.0  200.0    5.0    5.0
 9400.0  300.0    4.0    3.0
 9500.0  300.0   14.0    3.0
 9700.0  300.0   30.0    4.5
 9900.0  400.0    8.0    3.0
10100.0  400.0   23.0    3.4
11000.0  400.0   37.0    5.5
11900.0  400.0   37.0    5.5
 278  79.8   16.8  4 SORGFJORDEN SPITS.            
 6500.0  200.0    8.7    1.3
 8600.0  300.0   30.0    4.5
10000.0  400.0   25.0    3.7
10900.0  400.0   33.0    4.9
 279  80.0   19.0  8 MURCHISONFJORDEN SPITS.       
 3000.0  200.0    2.0    1.0
 4000.0  200.0    3.0    1.0
 5000.0  200.0    5.0    1.0
 6000.0  200.0    7.0    1.0
 6500.0  200.0   10.0    1.4
 7000.0  200.0   10.0    1.4
 8000.0  300.0   14.0    2.1
 9000.0  300.0   29.0    4.3
 280  78.2   20.5  6 WILHELMOYA SPITS.             
 3000.0  200.0    7.0    1.0
 4000.0  200.0   10.0    1.4
 5000.0  200.0   13.0    1.9
 6000.0  200.0   20.0    3.0
 6800.0  200.0   28.0    4.2
 7000.0  200.0   28.0    4.2
 281  78.6   22.2  2 BARENTSOYA SPITS.             
 6500.0  200.0   30.0    4.5
 8400.0  300.0   48.0    7.1
 282  79.0   28.0  7 KONG KARLS LAND SPITS.        
 2000.0  200.0   11.0    1.6
 3000.0  200.0   16.0    2.4
 4000.0  200.0   22.0    3.3
 5000.0  200.0   27.0    4.0
 6000.0  200.0   31.0    4.6
 6500.0  200.0   34.0    5.0
 9000.0  300.0   70.0   10.4
 283  77.3   22.6 10 EDGEOYA SPITS.                
 1000.0  200.0    2.0    1.0
 2000.0  200.0    6.0    1.0
 3000.0  200.0   10.0    1.4
 4000.0  200.0   17.0    2.5
 5000.0  200.0   23.0    3.4
 6000.0  200.0   29.0    4.3
 6500.0  200.0   33.0    4.9
 7000.0  200.0   35.0    5.2
 8000.0  300.0   41.0    6.1
 9000.0  300.0   50.0    7.4
 284  76.6   25.0  3 HOPEN IS. SPITS.              
 5000.0  200.0   22.0    3.3
 6500.0  200.0   34.0    5.0
 9000.0  300.0   50.0    7.4
 285  80.8   48.0  2 ZEMLYA GEORGE FJL.            
 1500.0  200.0    5.0    1.0
 5500.0  200.0   17.5    2.6
 286  80.5   56.0  2 OSTROV M'CLINTOCK FJL.        
 4800.0  200.0   10.0    1.4
 7500.0  300.0   26.0    3.9
 301  45.5  -76.0  3 OTTAWA ONT.                   
 9000.0  300.0   54.0   26.0
10000.0  400.0  100.0   20.0
11000.0  400.0  148.0   22.1
 302  45.3  -74.6  1 CORNWALL ONT.                 
 9900.0  300.0  107.0   16.0
 303  45.5  -74.0  5 MONTREAL QUE.                 
 7000.0  200.0    5.0    5.0
 8000.0  300.0   37.0   10.0
 9000.0  300.0   80.0   11.9
10000.0  400.0  123.0   18.4
11000.0  400.0  166.0   25.0
 304  48.0  -69.0  5 RIVIERE DU LOUP QUE.          
 7000.0  200.0   10.0   10.0
 8000.0  300.0   27.0   15.0
 9000.0  300.0   50.0   20.0
10000.0  400.0   75.0   25.0
11000.0  400.0  107.0   35.0
 305  48.5  -68.5  6 RIMOUSKI QUE.                 
 2000.0  200.0    3.0    2.0
 9000.0  300.0   33.0   10.0
10000.0  400.0   47.0   15.0
11000.0  400.0   65.0   20.0
12000.0  400.0   98.0   40.0
13000.0  500.0  124.0   50.0
 306  49.0  -66.0  7 GASPE QUE.                    
 6000.0  200.0    5.0    1.0
 7000.0  200.0    6.0    1.0
 8000.0  300.0   12.0    1.8
 9000.0  300.0   18.0    2.7
10000.0  400.0   28.0    4.2
11000.0  400.0   37.0    5.5
12000.0  400.0   50.0    7.4
 307  50.2  -65.5  4 MOISIE QUE.                   
 6000.0  200.0   21.0    3.1
 7000.0  200.0   31.0    4.6
 8000.0  300.0   48.0    7.1
 9000.0  300.0   70.0   10.4
 308  50.0  -60.0  5 N. GULF OF ST. LAWRENCE QUE.  
 2000.0  200.0    9.0    1.3
 4000.0  200.0   25.0    3.7
 6000.0  200.0   43.0    6.4
 8000.0  300.0   98.0   14.6
10000.0  400.0  157.0   23.5
 309  51.5  -56.5 12 NW. NEWFOUNDLAND              
 1000.0  200.0    1.0    1.0
 2000.0  200.0    2.5    1.0
 3000.0  200.0    4.0    2.0
 4000.0  200.0    6.0    2.0
 5000.0  200.0    8.0    3.0
 6000.0  200.0   13.0    3.0
 7000.0  200.0   20.0    5.0
 8000.0  300.0   30.0    8.0
 9000.0  300.0   41.0   14.0
10000.0  400.0   57.0   13.0
11000.0  400.0   75.0   15.0
12000.0  400.0   98.0   18.0
 310  48.0  -59.0  4 ST. GEORGE'S BAY NFLD.        
 4000.0  200.0   -4.0    3.0
 7000.0  200.0   -4.0    4.0
12000.0  400.0   26.0    5.0
13000.0  500.0   37.0    5.5
 311  47.0  -64.0  6 TIGNISH PEI.                  
 2000.0  200.0   -3.0    1.0
 3000.0  200.0   -6.0    3.0
 8000.0  300.0   -8.0   15.0
10000.0  400.0    1.0   11.0
12000.0  400.0   12.0    9.0
13000.0  500.0   20.0    9.0
 312  46.5  -63.5  9 FRENCH R. PEI.                
 1000.0  200.0   -3.0    2.0
 2000.0  200.0   -8.0    3.0
 3000.0  200.0  -12.0    4.0
 4000.0  200.0  -17.0    5.0
 5000.0  200.0  -21.0    7.0
 6000.0  200.0  -26.0    9.0
 7000.0  200.0  -30.0   10.0
 8000.0  300.0  -33.0   12.0
10000.0  400.0  -35.0   13.0
 313  46.3  -63.3  5 CHARLOTTETOWN PEI.            
 1000.0  200.0   -1.2    1.0
 1500.0  200.0   -2.4    1.6
 2000.0  200.0   -3.2    2.4
 3000.0  200.0   -6.4    4.0
 4000.0  200.0  -10.0    5.0
 314  46.0  -60.0  7 CAPE BRETON IS. NS.           
 2000.0  200.0   -5.0    1.0
 4000.0  200.0   -8.0    1.1
 6000.0  200.0  -21.0    3.1
 8000.0  300.0  -25.0    3.7
10000.0  400.0  -29.0    4.3
12000.0  400.0  -50.0    7.4
14000.0  500.0  -67.0   10.0
 315  45.0  -63.0  5 CHEZZETCOOK NS.               
 1000.0  200.0   -2.0    1.0
 2000.0  200.0   -8.0    1.1
 3600.0  200.0   -9.0    1.3
 5100.0  200.0  -12.0    1.8
 6700.0  200.0  -13.0    1.9
 316  44.7  -63.7  7 HALIFAX NS.                   
 2000.0  200.0   -5.0    1.0
 4000.0  200.0   -8.0    1.1
 6000.0  200.0  -21.0    3.1
 8000.0  300.0  -25.0    3.7
10000.0  400.0  -29.0    4.3
12000.0  400.0  -33.0    4.9
14000.0  500.0  -33.0    4.9
 317  44.5  -64.3  2 LUNENBURG BAY NS.             
 5800.0  200.0  -22.0    3.3
 7100.0  200.0  -28.0    4.2
 318  43.9  -66.0  4 YARMOUTH NS.                  
 1400.0  200.0   -2.0    1.0
 2500.0  200.0   -3.3    1.0
 2600.0  200.0   -4.5    1.0
 2700.0  200.0   -5.7    1.0
 319  45.0  -65.0  9 BAY OF FUNDY NS.              
 1300.0  200.0   -2.3    1.0
 2500.0  200.0   -4.0    1.0
 3100.0  200.0   -6.0    1.0
 3600.0  200.0   -8.5    1.2
 5000.0  200.0  -13.0    2.5
 6000.0  200.0  -15.0    2.5
11000.0  400.0  -14.0    6.0
12000.0  400.0    5.0    9.0
13000.0  500.0   29.0   11.0
 320  45.3  -66.0  7 ST. JOHN NB.                  
 2000.0  200.0   -5.0    1.0
 4000.0  200.0   -8.0    1.1
 6000.0  200.0  -17.0    2.5
 8000.0  300.0  -13.0    1.9
10000.0  400.0   -4.0    1.0
12000.0  400.0   17.0    2.5
14000.0  500.0   75.0   11.2
 321  44.5  -67.7 13 ADDISON ME.                   
  800.0  200.0    -.4    1.0
 1900.0  200.0   -1.4    1.0
 3200.0  200.0   -3.0    1.0
 4100.0  200.0   -4.0    1.0
 9500.0  900.0  -65.0    9.7
10500.0  500.0  -53.0    7.9
11700.0  500.0   27.0   15.0
13000.0  500.0   72.0   10.7
 1000.0  200.0   -2.0    1.5
 2000.0  200.0   -3.5    2.0
 3000.0  200.0   -4.0    2.0
 4000.0  200.0   -4.5    1.5
12000.0  400.0   60.0   40.0
 322  43.1  -70.7  9 ISLES OF SHOALS NH.           
 1000.0  200.0    -.7    1.0
 2000.0  200.0   -1.5    1.0
 3000.0  200.0   -3.0    1.5
 4000.0  200.0   -4.5    1.5
 5000.0  200.0   -7.0    2.0
 6000.0  200.0   -9.0    2.0
 7000.0  200.0  -12.0    2.0
10800.0  400.0  -31.0    4.6
12100.0  400.0  -31.0    4.6
 323  42.8  -70.8  8 BOSTON MA.                    
 2500.0  200.0   -1.6    1.0
 3400.0  200.0   -3.0    1.0
 3700.0  200.0   -4.0    1.0
 4200.0  200.0   -4.9    1.0
 4900.0  200.0   -7.6    1.1
 6300.0  200.0  -12.5    1.8
11000.0  400.0   -8.0    3.0
12000.0  400.0   -3.0    3.0
 324  41.7  -70.3  4 BARNSTABLE MA.                
 1000.0  200.0   -1.0    1.0
 2000.0  200.0   -2.4    1.0
 3000.0  200.0   -5.0    1.0
 4000.0  200.0   -7.2    1.0
 325  41.3  -70.0  5 PLUM IS. MA.                  
 2700.0  200.0   -1.6    1.0
 4200.0  200.0   -3.3    1.0
 5200.0  200.0   -5.0    1.0
 6200.0  200.0   -7.6    1.1
 8200.0  300.0  -13.0    1.9
 326  41.2  -72.5  7 CLINTON CT.                   
 1000.0  200.0   -1.0    1.0
 2000.0  200.0   -2.0    1.0
 3000.0  200.0   -3.4    1.0
 4000.0  200.0   -4.7    1.0
 5000.0  200.0   -6.7    1.0
 6000.0  200.0   -8.4    1.2
 7000.0  200.0  -10.2    1.5
 327  41.2  -73.0  6 NEW HAVEN CT.                 
 1500.0  200.0   -2.1    1.0
 3000.0  200.0   -3.5    1.0
 3600.0  200.0   -5.0    1.0
 4400.0  200.0   -6.6    1.0
 4800.0  200.0   -7.0    1.0
 5500.0  200.0   -8.0    1.1
 328  41.0  -74.0 11 NEW YORK NY.                  
  300.0  200.0    -.3    1.0
 1000.0  200.0   -1.1    1.0
 1900.0  200.0   -2.7    1.0
 2300.0  200.0   -3.9    1.0
 3400.0  200.0   -5.1    1.0
 5100.0  200.0   -7.5    1.1
 5700.0  200.0  -13.0    1.9
 6400.0  200.0  -18.3    2.7
 7100.0  200.0  -18.0    2.7
 8100.0  300.0  -20.0    3.0
12400.0  400.0  -20.3    3.0
 329  41.3  -74.0  8 HUDSON R. NY.                 
 1000.0  200.0   -1.0    1.0
 2000.0  200.0   -2.4    1.0
 3000.0  200.0   -4.2    1.0
 4000.0  200.0   -6.2    1.0
 5000.0  200.0   -8.3    1.2
 6000.0  200.0  -10.5    1.5
 7000.0  200.0  -13.0    1.9
12000.0  400.0  -27.7    5.0
 330  40.9  -73.3  4 W. LONG ISLAND NY.            
  300.0  200.0    -.7    1.0
 1600.0  200.0   -1.5    1.0
 2200.0  200.0   -4.8    1.0
 2500.0  200.0   -4.9    1.0
 331  41.0  -72.3  1 E. LONG ISLAND NY.            
 3600.0  200.0   -6.7    1.0
 332  40.4  -74.3  3 CHEESEQUAKE NJ.               
 1200.0  200.0   -2.7    1.0
 2000.0  200.0   -3.1    1.0
 7200.0  200.0  -12.0    1.8
 333  39.5  -74.5  6 BRIGANTINE NJ.                
 1000.0  200.0   -1.4    1.0
 2000.0  200.0   -3.0    1.0
 3000.0  200.0   -5.2    1.0
 4000.0  200.0   -7.5    1.1
 5000.0  200.0  -10.5    1.5
 6000.0  200.0  -13.0    1.9
 334  39.2  -74.7  5 C. MAY NJ.                    
  900.0  200.0   -1.4    1.0
 2300.0  200.0   -3.2    1.0
 2800.0  200.0   -4.8    1.0
 3400.0  200.0   -5.6    1.0
 4000.0  200.0   -7.5    1.1
 335  39.0  -75.3  8 BOWERS DE.                    
 1000.0  200.0    -.5    1.0
 2000.0  200.0   -1.5    1.0
 3000.0  200.0   -4.5    1.0
 4000.0  200.0   -7.5    1.5
 5000.0  200.0  -10.5    1.5
 6000.0  200.0  -13.0    1.9
 7000.0  200.0  -16.5    2.4
 8000.0  300.0  -17.0    3.0
 336  39.0  -76.0  5 CHESTER R. MD.                
 1200.0  200.0   -1.9    1.0
 2600.0  200.0   -4.0    1.0
 3300.0  200.0   -5.2    1.0
 3700.0  200.0   -5.6    1.0
 4500.0  200.0  -10.9    1.6
 337  37.0  -76.0 15 C. CHARLES VA.                
 1000.0  200.0     .5    1.0
 2000.0  200.0     .5    1.0
 3000.0  200.0   -3.0    1.0
 4000.0  200.0   -7.0    1.5
 5000.0  200.0  -10.0    3.0
 6000.0  200.0  -13.0    3.0
 7000.0  200.0  -17.0    3.0
 8000.0  300.0  -22.0    4.0
 9000.0  300.0  -23.0    4.0
10000.0  400.0  -24.0    4.0
11000.0  400.0  -24.0    4.0
12000.0  400.0  -24.0    4.0
13000.0  500.0  -24.0    4.0
14000.0  500.0  -24.0    4.0
15000.0  600.0  -24.0    4.0
 338  37.0  -77.0  8 JAMES R. VA.                  
  500.0  200.0    -.9    1.0
  900.0  200.0   -1.3    1.0
 1300.0  200.0   -2.5    1.0
 2700.0  200.0   -5.0    1.0
 3300.0  200.0   -4.5    1.0
 4900.0  200.0   -7.3    1.0
 5800.0  200.0   -9.2    1.3
11600.0  400.0  -23.0    3.4
 339  34.0  -78.0  4 SOUTHPORT NC.                 
 1400.0  200.0   -1.0    1.0
 3300.0  200.0   -4.0    1.0
 3700.0  200.0   -5.0    1.0
 5700.0  300.0   -8.2    1.2
 340  33.7  -78.7  4 MYRTLE BEACH SC.              
 2900.0  200.0     .0    1.0
 3400.0  200.0    -.6    1.0
 3700.0  200.0   -7.6    1.1
 5900.0  200.0  -10.3    1.5
 341  33.3  -79.3  5 C. ROYAL SC.                  
 3100.0  200.0   -3.1    1.0
 3700.0  200.0   -3.5    1.0
 4500.0  200.0   -4.0    1.0
 5600.0  200.0   -6.7    1.0
 6100.0  200.0   -6.9    1.0
 342  33.0  -80.0  7 CHARLESTON SC.                
 2000.0  200.0   -1.0    1.0
 2300.0  200.0   -1.9    1.0
 2700.0  200.0   -2.0    1.0
 3100.0  200.0   -2.1    1.0
 4200.0  200.0   -3.2    1.0
 4700.0  200.0   -3.5    1.0
 5000.0  200.0   -4.5    1.0
 343  32.0  -81.0  5 SAVANNAH GA.                  
  700.0  200.0    -.9    1.0
 2100.0  200.0   -1.4    1.0
 3100.0  200.0   -2.5    1.0
 4400.0  200.0   -3.4    1.0
 5300.0  200.0   -4.2    1.0
 344  31.2  -81.5  2 DARIEN GA.                    
 2800.0  300.0    -.6    1.0
 3700.0  300.0   -5.2    1.0
 345  29.0  -81.0  4 DAYTONA FL.                   
 1400.0  200.0   -1.5    1.0
 2700.0  200.0    -.6    1.0
 4000.0  200.0     .0    1.0
12600.0  500.0  -48.0    7.1
 346  25.2  -80.8  5 EVERGLADES FL.                
 1000.0  200.0    -.3    1.0
 2000.0  200.0    -.6    1.0
 3000.0  200.0   -1.2    1.0
 4000.0  200.0   -2.2    1.0
 5000.0  200.0   -3.6    1.0
 347  29.9  -84.6  1 APALACHEE FL.                 
 3800.0  300.0   -1.5    1.0
 348  29.6  -91.6  5 COTE BLANCHE BAY LA.          
 1700.0  200.0   -1.2    1.0
 4000.0  200.0   -3.0    1.0
 4700.0  200.0   -5.0    1.0
 6200.0  200.0  -10.0    1.4
 7200.0  200.0  -12.0    1.8
 349  28.6  -96.5  5 MATAGORDA BAY TX.             
 2200.0  200.0   -3.3    1.0
 6700.0  200.0  -15.3    2.2
 8300.0  300.0  -22.5    3.3
 9400.0  300.0  -25.0    3.7
10100.0  400.0  -27.4    4.1
 350  27.5  -96.0  8 NW. GULF OF MEXICO            
 8000.0  300.0  -11.0    4.0
 9000.0  300.0  -21.0    6.0
10000.0  400.0  -35.0    6.0
11000.0  400.0  -45.0    7.0
12000.0  400.0  -55.0    8.2
13000.0  500.0  -64.0    9.5
14000.0  500.0  -70.0   10.4
15000.0  600.0  -75.0   11.2
 351  24.5  -97.8  3 TAMAULIPAS MEX.               
 1900.0  200.0    3.0    1.0
 2300.0  200.0    2.5    1.0
 3800.0  200.0    2.5    1.0
 352  25.0  -77.3  2 NASSAU BAHAMAS                
  600.0  200.0    -.3    1.0
 4800.0  200.0   -5.0    1.0
 353  22.0  -82.0  4 W. CUBA                       
 1700.0  200.0   -5.0    1.0
 4700.0  200.0   -6.6    1.0
 5500.0  200.0   -6.0    1.0
 6000.0  200.0  -13.0    1.9
 354  21.2  -76.6  2 E. CUBA                       
 6000.0  200.0  -11.0    1.6
 6500.0  200.0  -12.0    1.8
 355  18.3  -78.3  1 MONTEGO BAY JAMAICA           
 6300.0  200.0   -8.2    1.2
 356  18.5  -71.7  2 S. DOMINICIAN REP.            
 4800.0  200.0   -5.0    1.0
 5900.0  200.0   -5.0    1.0
 357  18.5  -66.5  4 PUERTO RICO                   
 1200.0  200.0   -3.1    1.0
 2100.0  200.0   -2.9    1.0
 5700.0  200.0   -6.6    1.0
 6100.0  200.0   -6.3    1.0
 358  32.0  -65.0 10 BERMUDA                       
 1000.0  200.0    -.5    1.0
 2000.0  200.0   -1.1    1.0
 3000.0  200.0   -2.0    1.0
 4000.0  200.0   -3.0    1.0
 5000.0  200.0   -5.5    1.0
 6000.0  200.0   -7.5    1.5
 7000.0  200.0  -11.0    2.5
 8000.0  300.0  -16.0    3.0
 9000.0  300.0  -24.0    4.0
10000.0  400.0  -32.0    4.8
 359  35.0  -67.0  5 CONT. SHELF USA.              
 8000.0  300.0  -33.0   15.0
 9000.0  300.0  -45.0   20.0
10000.0  400.0  -57.0   23.0
11000.0  400.0  -75.0   25.0
12000.0  400.0  -97.0   26.0
 401  54.0   10.6  7 LUBECK WG.                    
 1000.0  200.0   -2.0    1.0
 2000.0  200.0   -3.0    1.0
 3000.0  200.0   -4.0    1.0
 4000.0  200.0   -5.0    1.0
 5000.0  200.0   -6.0    1.0
 6000.0  200.0   -9.0    1.3
 7000.0  200.0  -15.0    2.2
 402  54.6   10.2  4 KEIL BAY WG.                  
 3100.0  200.0   -1.2    1.0
 7800.0  300.0  -19.0    2.8
 9800.0  300.0  -31.0    4.6
11900.0  400.0  -29.0    4.3
 403  54.6    8.9  7 BREDSTEDT WG.                 
 1200.0  200.0   -3.5    1.0
 3400.0  200.0    -.6    1.0
 5000.0  300.0   -2.0    1.0
 6100.0  200.0   -5.0    1.0
 6500.0  200.0   -9.6    1.4
 7100.0  200.0  -11.0    1.6
 8400.0  300.0   -8.1    1.2
 404  53.8    8.5  6 BREMERHAVEN WG.               
 2600.0  200.0   -2.5    1.0
 3200.0  200.0   -1.0    1.0
 3500.0  200.0   -1.3    1.0
 4200.0  200.0   -2.5    1.0
 4900.0  200.0   -2.5    1.0
 7800.0  300.0  -24.0    3.6
 405  53.2    7.0  5 GRONINGEN NETH.               
 3000.0  200.0    -.9    1.0
 3400.0  200.0   -1.9    1.0
 4300.0  200.0   -3.0    1.0
 5100.0  200.0   -4.2    1.0
 6500.0  200.0   -6.2    1.0
 406  53.1    5.3  7 LEEUWARDEN NETH.              
 3000.0  200.0   -2.0    1.0
 4000.0  200.0   -3.0    1.0
 5000.0  200.0   -5.0    1.0
 6000.0  200.0   -7.0    1.0
 7000.0  200.0  -12.0    1.8
 8000.0  300.0  -19.0    2.8
 9500.0  300.0  -23.3    3.4
 407  51.8    4.0 10 RHINE DELTA NETH.             
 2700.0  200.0   -1.2    1.0
 3700.0  200.0   -2.1    1.0
 3900.0  200.0   -2.5    1.0
 4200.0  200.0   -3.0    1.0
 4900.0  200.0   -4.0    1.0
 5100.0  200.0   -5.0    1.0
 5200.0  200.0   -5.5    1.0
 5700.0  200.0   -6.1    1.0
 6300.0  200.0   -8.0    1.1
 7700.0  300.0  -16.1    2.4
 408  51.1    2.8  3 OOSTENDE BEL.                 
 6800.0  200.0   -5.2    1.0
 7200.0  200.0   -5.2    1.0
 9200.0  300.0  -14.7    2.2
 409  49.5     .1 10 LE HAVRE FRA.                 
 1000.0  200.0     .0    1.0
 2000.0  200.0   -2.0    1.0
 3000.0  200.0   -7.0    1.0
 4000.0  200.0   -7.0    1.0
 5000.0  200.0   -4.0    1.0
 6000.0  200.0   -8.0    1.1
 7000.0  200.0  -14.0    2.1
 8300.0  300.0  -22.0    3.3
 9300.0  300.0  -27.7    4.1
